Input,Input Type,MGI Gene/Marker ID,Symbol,Name,Feature Type
KLF15,current symbol,MGI:1929988,Klf15,Kruppel-like transcription factor 15,protein coding gene
KLF16,current symbol,MGI:2153049,Klf16,Kruppel-like transcription factor 16,protein coding gene
KLF17,current symbol,MGI:2181068,Klf17,Kruppel-like transcription factor 17,protein coding gene
KLF2,current symbol,MGI:1342772,Klf2,Kruppel-like transcription factor 2 (lung),protein coding gene
KLF3,current symbol,MGI:1342773,Klf3,Kruppel-like transcription factor 3 (basic),protein coding gene
KLF4,current symbol,MGI:1342287,Klf4,Kruppel-like transcription factor 4 (gut),protein coding gene
KLF5,current symbol,MGI:1338056,Klf5,Kruppel-like transcription factor 5,protein coding gene
KLF6,current symbol,MGI:1346318,Klf6,Kruppel-like transcription factor 6,protein coding gene
KLF7,current symbol,MGI:1935151,Klf7,Kruppel-like transcription factor 7 (ubiquitous),protein coding gene
KLF8,current symbol,MGI:2442430,Klf8,Kruppel-like transcription factor 8,protein coding gene
KLF9,current symbol,MGI:1333856,Klf9,Kruppel-like transcription factor 9,protein coding gene
L3MBTL1,current symbol,MGI:2676663,L3mbtl1,L3MBTL1 histone methyl-lysine binding protein,protein coding gene
L3MBTL3,current symbol,MGI:2143628,L3mbtl3,L3MBTL3 histone methyl-lysine binding protein,protein coding gene
L3MBTL4,current symbol,MGI:2444889,L3mbtl4,L3MBTL4 histone methyl-lysine binding protein,protein coding gene
MAZ,current symbol,MGI:1338823,Maz,MYC-associated zinc finger protein (purine-binding transcription factor),protein coding gene
MECOM,current symbol,MGI:95457,Mecom,MDS1 and EVI1 complex locus,protein coding gene
MTF1,human synonym,MGI:1353421,Meltf,melanotransferrin,protein coding gene
MTF1,current symbol,MGI:101786,Mtf1,metal response element binding transcription factor 1,protein coding gene
MTF1,human synonym,MGI:1100535,Myt1,myelin transcription factor 1,protein coding gene
MYNN,current symbol,MGI:1931415,Mynn,myoneurin,protein coding gene
MYNN,human synonym,MGI:1891838,Zbtb32,zinc finger and BTB domain containing 32,protein coding gene
MYT1,current symbol,MGI:1100535,Myt1,myelin transcription factor 1,protein coding gene
MYT1,synonym,MGI:2137630,Pkmyt1,"protein kinase, membrane associated tyrosine/threonine 1",protein coding gene
MYT1L,current symbol,MGI:1100511,Myt1l,myelin transcription factor 1-like,protein coding gene
MZF1,current symbol,MGI:107457,Mzf1,myeloid zinc finger 1,protein coding gene
OSR1,human synonym,MGI:1913930,Oser1,oxidative stress responsive serine rich 1,protein coding gene
OSR1,current symbol,MGI:1344424,Osr1,odd-skipped related transcription factor 1,protein coding gene
OSR1,old symbol,MGI:1917378,Oxsr1,oxidative-stress responsive 1,protein coding gene
OSR2,current symbol,MGI:1930813,Osr2,odd-skipped related 2,protein coding gene
OVOL1,current symbol,MGI:1330290,Ovol1,ovo like zinc finger 1,protein coding gene
OVOL2,current symbol,MGI:1338039,Ovol2,ovo like zinc finger 2,protein coding gene
OVOL3,current symbol,MGI:2388075,Ovol3,ovo like zinc finger 3,protein coding gene
PEG3,current symbol,MGI:104748,Peg3,paternally expressed 3,protein coding gene
PLAG1,current symbol,MGI:1891916,Plag1,pleiomorphic adenoma gene 1,protein coding gene
PLAGL1,current symbol,MGI:1100874,Plagl1,pleiomorphic adenoma gene-like 1,protein coding gene
PLAGL2,current symbol,MGI:1933165,Plagl2,pleiomorphic adenoma gene-like 2,protein coding gene
PRDM1,current symbol,MGI:99655,Prdm1,"PR domain containing 1, with ZNF domain",protein coding gene
PRDM10,current symbol,MGI:2682952,Prdm10,PR domain containing 10,protein coding gene
PRDM12,current symbol,MGI:2685844,Prdm12,PR domain containing 12,protein coding gene
PRDM13,current symbol,MGI:2448528,Prdm13,PR domain containing 13,protein coding gene
PRDM14,current symbol,MGI:3588194,Prdm14,PR domain containing 14,protein coding gene
PRDM15,current symbol,MGI:1930121,Prdm15,PR domain containing 15,protein coding gene
PRDM16,current symbol,MGI:1917923,Prdm16,PR domain containing 16,protein coding gene
PRDM2,current symbol,MGI:107628,Prdm2,"PR domain containing 2, with ZNF domain",protein coding gene
PRDM4,current symbol,MGI:1920093,Prdm4,PR domain containing 4,protein coding gene
PRDM5,current symbol,MGI:1918029,Prdm5,PR domain containing 5,protein coding gene
PRDM6,current symbol,MGI:2684938,Prdm6,PR domain containing 6,protein coding gene
PRDM8,current symbol,MGI:1924880,Prdm8,PR domain containing 8,protein coding gene
PRDM9,current symbol,MGI:2384854,Prdm9,PR domain containing 9,protein coding gene
PRMT3,current symbol,MGI:1919224,Prmt3,protein arginine N-methyltransferase 3,protein coding gene
RBAK,current symbol,MGI:1927369,Rbak,RB-associated KRAB zinc finger,protein coding gene
RBSN,current symbol,MGI:1925537,Rbsn,"rabenosyn, RAB effector",protein coding gene
REPIN1,current symbol,MGI:1889817,Repin1,replication initiator 1,protein coding gene
REST,current symbol,MGI:104897,Rest,RE1-silencing transcription factor,protein coding gene
RLF,synonym,MGI:108427,Insl3,insulin-like 3,protein coding gene
RLF,synonym,MGI:107483,Rgl2,ral guanine nucleotide dissociation stimulator-like 2,protein coding gene
RLF,current symbol,MGI:1924705,Rlf,rearranged L-myc fusion sequence,protein coding gene
RREB1,current symbol,MGI:2443664,Rreb1,ras responsive element binding protein 1,protein coding gene
SALL1,current symbol,MGI:1889585,Sall1,spalt like transcription factor 1,protein coding gene
SALL2,current symbol,MGI:1354373,Sall2,spalt like transcription factor 2,protein coding gene
SALL3,current symbol,MGI:109295,Sall3,spalt like transcription factor 3,protein coding gene
SALL4,current symbol,MGI:2139360,Sall4,spalt like transcription factor 4,protein coding gene
SCRT1,current symbol,MGI:2176606,Scrt1,scratch family zinc finger 1,protein coding gene
SCRT2,current symbol,MGI:2139287,Scrt2,scratch family zinc finger 2,protein coding gene
SLC2A4RG,zebrafish symbol,MGI:3651388,Slc2a4rg-ps,"Slc2a4 regulator, pseudogene",pseudogene
SNAI1,current symbol,MGI:98330,Snai1,snail family zinc finger 1,protein coding gene
SNAI2,current symbol,MGI:1096393,Snai2,snail family zinc finger 2,protein coding gene
SNAI3,current symbol,MGI:1353563,Snai3,snail family zinc finger 3,protein coding gene
SP1,human synonym,MGI:1347246,Ceacam2,CEA cell adhesion molecule 2,protein coding gene
SP1,human synonym,MGI:1344365,Dand5,"DAN domain family member 5, BMP antagonist",protein coding gene
SP1,current symbol,MGI:98372,Sp1,trans-acting transcription factor 1,protein coding gene
SP2,current symbol,MGI:1926162,Sp2,Sp2 transcription factor,protein coding gene
SP2,synonym,MGI:98885,Zrsr2-ps1,"zinc finger (CCCH type), RNA binding motif and serine/arginine rich 2, pseudogene 1",pseudogene
SP3,current symbol,MGI:1277166,Sp3,trans-acting transcription factor 3,protein coding gene
SP4,current symbol,MGI:107595,Sp4,trans-acting transcription factor 4,protein coding gene
SP5,synonym,MGI:104522,Phxr4,per-hexamer repeat gene 4,protein coding gene
SP5,human synonym,MGI:109517,Sftpc,surfactant associated protein C,protein coding gene
SP5,current symbol,MGI:1927715,Sp5,trans-acting transcription factor 5,protein coding gene
SP6,current symbol,MGI:1932575,Sp6,trans-acting transcription factor 6,protein coding gene
SP6,synonym,MGI:2139607,Usp53,ubiquitin specific peptidase 53,protein coding gene
SP7,current symbol,MGI:2153568,Sp7,Sp7 transcription factor 7,protein coding gene
SP8,current symbol,MGI:2443471,Sp8,trans-acting transcription factor 8,protein coding gene
SP9,current symbol,MGI:3574660,Sp9,trans-acting transcription factor 9,protein coding gene
ST18,current symbol,MGI:2446700,St18,suppression of tumorigenicity 18,protein coding gene
TRAFD1,current symbol,MGI:1923551,Trafd1,TRAF type zinc finger domain containing 1,protein coding gene
TSHZ1,current symbol,MGI:1346031,Tshz1,teashirt zinc finger family member 1,protein coding gene
TSHZ2,current symbol,MGI:2153084,Tshz2,teashirt zinc finger family member 2,protein coding gene
TSHZ3,current symbol,MGI:2442819,Tshz3,teashirt zinc finger family member 3,protein coding gene
VEZF1,current symbol,MGI:1313291,Vezf1,vascular endothelial zinc finger 1,protein coding gene
WIZ,current symbol,MGI:1332638,Wiz,widely-interspaced zinc finger motifs,protein coding gene
WT1,current symbol,MGI:98968,Wt1,WT1 transcription factor,protein coding gene
YY1,current symbol,MGI:99150,Yy1,YY1 transcription factor,protein coding gene
YY2,current symbol,MGI:3837947,Yy2,Yy2 transcription factor,protein coding gene
ZBTB1,current symbol,MGI:2442326,Zbtb1,zinc finger and BTB domain containing 1,protein coding gene
ZBTB10,current symbol,MGI:2139883,Zbtb10,zinc finger and BTB domain containing 10,protein coding gene
ZBTB11,current symbol,MGI:2443876,Zbtb11,zinc finger and BTB domain containing 11,protein coding gene
ZBTB12,current symbol,MGI:88133,Zbtb12,zinc finger and BTB domain containing 12,protein coding gene
ZBTB14,current symbol,MGI:1195345,Zbtb14,zinc finger and BTB domain containing 14,protein coding gene
ZBTB16,current symbol,MGI:103222,Zbtb16,zinc finger and BTB domain containing 16,protein coding gene
ZBTB17,current symbol,MGI:107410,Zbtb17,zinc finger and BTB domain containing 17,protein coding gene
ZBTB18,current symbol,MGI:1353609,Zbtb18,zinc finger and BTB domain containing 18,protein coding gene
ZBTB2,current symbol,MGI:2685949,Zbtb2,zinc finger and BTB domain containing 2,protein coding gene
ZBTB20,current symbol,MGI:1929213,Zbtb20,zinc finger and BTB domain containing 20,protein coding gene
ZBTB21,current symbol,MGI:1927240,Zbtb21,zinc finger and BTB domain containing 21,protein coding gene
ZBTB22,current symbol,MGI:1931870,Zbtb22,zinc finger and BTB domain containing 22,protein coding gene
ZBTB25,current symbol,MGI:99197,Zbtb25,zinc finger and BTB domain containing 25,protein coding gene
ZBTB26,current symbol,MGI:2444402,Zbtb26,zinc finger and BTB domain containing 26,protein coding gene
ZBTB3,current symbol,MGI:1922541,Zbtb3,zinc finger and BTB domain containing 3,protein coding gene
ZBTB32,current symbol,MGI:1891838,Zbtb32,zinc finger and BTB domain containing 32,protein coding gene
ZBTB33,current symbol,MGI:1927290,Zbtb33,zinc finger and BTB domain containing 33,protein coding gene
ZBTB34,current symbol,MGI:2685195,Zbtb34,zinc finger and BTB domain containing 34,protein coding gene
ZBTB37,current symbol,MGI:2444467,Zbtb37,zinc finger and BTB domain containing 37,protein coding gene
ZBTB38,current symbol,MGI:2442866,Zbtb38,zinc finger and BTB domain containing 38,protein coding gene
ZBTB39,current symbol,MGI:2443316,Zbtb39,zinc finger and BTB domain containing 39,protein coding gene
ZBTB4,current symbol,MGI:1922830,Zbtb4,zinc finger and BTB domain containing 4,protein coding gene
ZBTB40,current symbol,MGI:2682254,Zbtb40,zinc finger and BTB domain containing 40,protein coding gene
ZBTB41,current symbol,MGI:2444487,Zbtb41,zinc finger and BTB domain containing 41,protein coding gene
ZBTB42,current symbol,MGI:3644133,Zbtb42,zinc finger and BTB domain containing 42,protein coding gene
ZBTB43,current symbol,MGI:1919084,Zbtb43,zinc finger and BTB domain containing 43,protein coding gene
ZBTB44,current symbol,MGI:1925123,Zbtb44,zinc finger and BTB domain containing 44,protein coding gene
ZBTB45,current symbol,MGI:2685003,Zbtb45,zinc finger and BTB domain containing 45,protein coding gene
ZBTB46,current symbol,MGI:1919397,Zbtb46,zinc finger and BTB domain containing 46,protein coding gene
ZBTB47,current symbol,MGI:2670992,Zbtb47,zinc finger and BTB domain containing 47,protein coding gene
ZBTB48,current symbol,MGI:2140248,Zbtb48,zinc finger and BTB domain containing 48,protein coding gene
ZBTB49,current symbol,MGI:1922329,Zbtb49,zinc finger and BTB domain containing 49,protein coding gene
ZBTB5,current symbol,MGI:1924601,Zbtb5,zinc finger and BTB domain containing 5,protein coding gene
ZBTB6,current symbol,MGI:2442998,Zbtb6,zinc finger and BTB domain containing 6,protein coding gene
ZBTB7A,current symbol,MGI:1335091,Zbtb7a,zinc finger and BTB domain containing 7a,protein coding gene
ZBTB7B,current symbol,MGI:102755,Zbtb7b,zinc finger and BTB domain containing 7B,protein coding gene
ZBTB7C,current symbol,MGI:2443302,Zbtb7c,zinc finger and BTB domain containing 7C,protein coding gene
ZBTB8A,current symbol,MGI:1920930,Zbtb8a,zinc finger and BTB domain containing 8a,protein coding gene
ZBTB8B,current symbol,MGI:2387181,Zbtb8b,zinc finger and BTB domain containing 8b,protein coding gene
ZBTB9,current symbol,MGI:1918022,Zbtb9,zinc finger and BTB domain containing 9,protein coding gene
ZFAT,current symbol,MGI:2681865,Zfat,zinc finger and AT hook domain containing,protein coding gene
ZFP1,current symbol,MGI:99154,Zfp1,zinc finger protein 1,protein coding gene
ZFP14,current symbol,MGI:99160,Zfp14,zinc finger protein 14,protein coding gene
ZFP2,current symbol,MGI:99167,Zfp2,zinc finger protein 2,protein coding gene
ZFP28,rat synonym,MGI:3648314,Gm7072,predicted gene 7072,protein coding gene
ZFP28,current symbol,MGI:99175,Zfp28,zinc finger protein 28,protein coding gene
ZFP28,rat synonym,MGI:3643318,Zfp994,zinc finger protein 994,protein coding gene
ZFP3,current symbol,MGI:99177,Zfp3,zinc finger protein 3,protein coding gene
ZFP30,current symbol,MGI:99178,Zfp30,zinc finger protein 30,protein coding gene
ZFP37,current symbol,MGI:99181,Zfp37,zinc finger protein 37,protein coding gene
ZFP41,current symbol,MGI:99186,Zfp41,zinc finger protein 41,protein coding gene
ZFP42,current symbol,MGI:99187,Zfp42,zinc finger protein 42,protein coding gene
ZFP57,current symbol,MGI:99204,Zfp57,zinc finger protein 57,protein coding gene
ZFP62,current symbol,MGI:99662,Zfp62,zinc finger protein 62,protein coding gene
ZFP64,current symbol,MGI:107342,Zfp64,zinc finger protein 64,protein coding gene
ZFP64,synonym,MGI:104786,Zfp90,zinc finger protein 90,protein coding gene
ZFP69,current symbol,MGI:107794,Zfp69,zinc finger protein 69,protein coding gene
ZFP69,synonym,MGI:107780,Zfp84,zinc finger protein 84,protein coding gene
ZFP69B,,No associated gene,,,
ZFP82,current symbol,MGI:1890753,Zfp82,zinc finger protein 82,protein coding gene
ZFP90,current symbol,MGI:104786,Zfp90,zinc finger protein 90,protein coding gene
ZFP91,current symbol,MGI:104854,Zfp91,zinc finger protein 91,protein coding gene
ZFP92,current symbol,MGI:108094,Zfp92,zinc finger protein 92,protein coding gene
ZFPM1,current symbol,MGI:1095400,Zfpm1,"zinc finger protein, multitype 1",protein coding gene
ZFPM2,current symbol,MGI:1334444,Zfpm2,"zinc finger protein, multitype 2",protein coding gene
ZFX,zebrafish symbol,MGI:99153,Zfa-ps,"zinc finger protein, autosomal, pseudogene",pseudogene
ZFX,current symbol,MGI:99211,Zfx,zinc finger protein X-linked,protein coding gene
ZFX,zebrafish symbol,MGI:99212,Zfy1,"zinc finger protein 1, Y-linked",protein coding gene
ZFX,zebrafish symbol,MGI:99213,Zfy2,"zinc finger protein 2, Y-linked",protein coding gene
ZFY,human symbol,MGI:99153,Zfa-ps,"zinc finger protein, autosomal, pseudogene",pseudogene
ZFY,rat synonym,MGI:99212,Zfy1,"zinc finger protein 1, Y-linked",protein coding gene
ZFY,rat synonym,MGI:99213,Zfy2,"zinc finger protein 2, Y-linked",protein coding gene
ZIC1,current symbol,MGI:106683,Zic1,zinc finger protein of the cerebellum 1,protein coding gene
ZIC2,current symbol,MGI:106679,Zic2,zinc finger protein of the cerebellum 2,protein coding gene
ZIC3,current symbol,MGI:106676,Zic3,zinc finger protein of the cerebellum 3,protein coding gene
ZIC4,current symbol,MGI:107201,Zic4,zinc finger protein of the cerebellum 4,protein coding gene
ZIC5,current symbol,MGI:1929518,Zic5,zinc finger protein of the cerebellum 5,protein coding gene
ZIK1,current symbol,MGI:108070,Zik1,zinc finger protein interacting with K protein 1,protein coding gene
ZIM2,current symbol,MGI:1923887,Zim2,"zinc finger, imprinted 2",lncRNA gene
ZIM3,current symbol,MGI:2151058,Zim3,"zinc finger, imprinted 3",lncRNA gene
ZKSCAN1,current symbol,MGI:1921820,Zkscan1,zinc finger with KRAB and SCAN domains 1,protein coding gene
ZKSCAN2,current symbol,MGI:2444060,Zkscan2,zinc finger with KRAB and SCAN domains 2,protein coding gene
ZKSCAN3,current symbol,MGI:1919989,Zkscan3,zinc finger with KRAB and SCAN domains 3,protein coding gene
ZKSCAN4,human symbol,MGI:1919989,Zkscan3,zinc finger with KRAB and SCAN domains 3,protein coding gene
ZKSCAN4,current symbol,MGI:3649412,Zkscan4,zinc finger with KRAB and SCAN domains 4,protein coding gene
ZKSCAN5,current symbol,MGI:107533,Zkscan5,zinc finger with KRAB and SCAN domains 5,protein coding gene
ZKSCAN7,current symbol,MGI:3040678,Zkscan7,zinc finger with KRAB and SCAN domains 7,protein coding gene
ZKSCAN8,current symbol,MGI:1913815,Zkscan8,zinc finger with KRAB and SCAN domains 8,protein coding gene
ZMAT1,current symbol,MGI:2442284,Zmat1,"zinc finger, matrin type 1",protein coding gene
ZMAT4,current symbol,MGI:2443497,Zmat4,"zinc finger, matrin type 4",protein coding gene
ZNF10,,No associated gene,,,
ZNF100,,No associated gene,,,
ZNF101,,No associated gene,,,
ZNF107,human symbol,MGI:3036250,Zfp729a,zinc finger protein 729a,protein coding gene
ZNF112,human symbol,MGI:1929115,Zfp112,zinc finger protein 112,protein coding gene
ZNF114,,No associated gene,,,
ZNF117,human symbol,MGI:3652251,Gm14412,predicted gene 14412,protein coding gene
ZNF117,human symbol,MGI:3652324,Gm14443,predicted gene 14443,protein coding gene
ZNF117,human symbol,MGI:5591846,Gm32687,"predicted gene, 32687",protein coding gene
ZNF117,human symbol,MGI:3642994,Zfp936,zinc finger protein 936,protein coding gene
ZNF117,human symbol,MGI:2385298,Zfp958,zinc finger protein 958,protein coding gene
ZNF117,human symbol,MGI:1924053,Zfp998,zinc finger protein 998,protein coding gene
ZNF12,human symbol,MGI:99157,Zfp12,zinc finger protein 12,protein coding gene
ZNF121,human symbol,MGI:1915280,Zfp560,zinc finger protein 560,protein coding gene
ZNF124,rat synonym,MGI:1920701,Zfp763,zinc finger protein 763,protein coding gene
ZNF124,human symbol,MGI:2681848,Zfp867,zinc finger protein 867,protein coding gene
ZNF131,synonym,MGI:1919715,Zfp131,zinc finger protein 131,protein coding gene
ZNF132,,No associated gene,,,
ZNF133,,No associated gene,,,
ZNF134,,No associated gene,,,
ZNF135,,No associated gene,,,
ZNF136,human symbol,MGI:2142212,AW146154,expressed sequence AW146154,protein coding gene
ZNF136,human symbol,MGI:3780195,Gm2026,predicted gene 2026,protein coding gene
ZNF136,human symbol,MGI:3782813,Gm4631,predicted gene 4631,protein coding gene
ZNF136,human symbol,MGI:3782904,Gm4724,predicted gene 4724,protein coding gene
ZNF136,human symbol,MGI:3779623,Gm6710,predicted gene 6710,protein coding gene
ZNF136,human symbol,MGI:3643456,Gm6871,predicted gene 6871,protein coding gene
ZNF136,human symbol,MGI:3782921,Gm14308,predicted gene 14308,protein coding gene
ZNF136,human symbol,MGI:3702875,Gm14325,predicted gene 14325,protein coding gene
ZNF136,human symbol,MGI:3709324,Gm14391,predicted gene 14391,protein coding gene
ZNF136,human symbol,MGI:3702412,Gm14430,predicted gene 14430,protein coding gene
ZNF136,human symbol,MGI:3702417,Gm14434,predicted gene 14434,protein coding gene
ZNF136,human symbol,MGI:3709333,Gm15446,predicted gene 15446,protein coding gene
ZNF136,human symbol,MGI:3584369,Zfp866,zinc finger protein 866,protein coding gene
ZNF136,human symbol,MGI:2681848,Zfp867,zinc finger protein 867,protein coding gene
ZNF136,human symbol,MGI:3709288,Zfp966,zinc finger protein 966,protein coding gene
ZNF136,human symbol,MGI:3709638,Zfp967,zinc finger protein 967,protein coding gene
ZNF136,human symbol,MGI:1261426,Zfp971,zinc finger protein 971,protein coding gene
ZNF138,,No associated gene,,,
ZNF14,rat synonym,MGI:2384299,Zfp709,zinc finger protein 709,protein coding gene
ZNF140,,No associated gene,,,
ZNF141,,No associated gene,,,
ZNF142,rat synonym,MGI:1924514,Zfp142,zinc finger protein 142,protein coding gene
ZNF143,rat synonym,MGI:1277969,Zfp143,zinc finger protein 143,protein coding gene
ZNF146,rat synonym,MGI:1347092,Zfp146,zinc finger protein 146,protein coding gene
ZNF146,rat synonym,MGI:1347071,Zfp260,zinc finger protein 260,protein coding gene
ZNF148,rat synonym,MGI:1332234,Zfp148,zinc finger protein 148,protein coding gene
ZNF154,,No associated gene,,,
ZNF155,,No associated gene,,,
ZNF157,human symbol,MGI:3652251,Gm14412,predicted gene 14412,protein coding gene
ZNF16,,No associated gene,,,
ZNF160,human symbol,MGI:108187,Zfp160,zinc finger protein 160,protein coding gene
ZNF165,,No associated gene,,,
ZNF169,rat synonym,MGI:1915161,Zfp169,zinc finger protein 169,protein coding gene
ZNF17,,No associated gene,,,
ZNF174,rat synonym,MGI:2686600,Zfp174,zinc finger protein 174,protein coding gene
ZNF175,,No associated gene,,,
ZNF177,,No associated gene,,,
ZNF18,rat synonym,MGI:1289293,Zkscan6,zinc finger with KRAB and SCAN domains 6,protein coding gene
ZNF180,human symbol,MGI:1923701,Zfp180,zinc finger protein 180,protein coding gene
ZNF181,,No associated gene,,,
ZNF182,human symbol,MGI:2442220,Zfp182,zinc finger protein 182,protein coding gene
ZNF182,human synonym,MGI:2682609,Zfp212,Zinc finger protein 212,protein coding gene
ZNF184,rat synonym,MGI:1922244,Zfp184,zinc finger protein 184 (Kruppel-like),protein coding gene
ZNF189,human symbol,MGI:2444707,Zfp189,zinc finger protein 189,protein coding gene
ZNF19,,No associated gene,,,
ZNF195,,No associated gene,,,
ZNF197,,No associated gene,,,
ZNF2,human symbol,MGI:1919430,Zfp661,zinc finger protein 661,protein coding gene
ZNF20,human synonym,MGI:1915280,Zfp560,zinc finger protein 560,protein coding gene
ZNF200,,No associated gene,,,
ZNF202,human symbol,MGI:1933401,Zfp202,zinc finger protein 202,protein coding gene
ZNF205,human symbol,MGI:99159,Zfp13,zinc finger protein 13,protein coding gene
ZNF207,human symbol,MGI:1340045,Zfp207,zinc finger protein 207,protein coding gene
ZNF208,human symbol,MGI:3036250,Zfp729a,zinc finger protein 729a,protein coding gene
ZNF208,human symbol,MGI:3040706,Zfp738,zinc finger protein 738,protein coding gene
ZNF211,,No associated gene,,,
ZNF212,synonym,MGI:2682609,Zfp212,Zinc finger protein 212,protein coding gene
ZNF213,rat synonym,MGI:3053094,Zfp213,zinc finger protein 213,protein coding gene
ZNF214,,No associated gene,,,
ZNF215,,No associated gene,,,
ZNF217,rat synonym,MGI:2685408,Zfp217,zinc finger protein 217,protein coding gene
ZNF219,rat synonym,MGI:1917140,Zfp219,zinc finger protein 219,protein coding gene
ZNF22,rat synonym,MGI:1914505,Zfp422,zinc finger protein 422,protein coding gene
ZNF221,human symbol,MGI:5591846,Gm32687,"predicted gene, 32687",protein coding gene
ZNF222,,No associated gene,,,
ZNF223,,No associated gene,,,
ZNF224,,No associated gene,,,
ZNF225,human synonym,MGI:95295,Egr1,early growth response 1,protein coding gene
ZNF226,human symbol,MGI:99663,Zfp61,zinc finger protein 61,protein coding gene
ZNF227,,No associated gene,,,
ZNF229,,No associated gene,,,
ZNF23,rat synonym,MGI:2443465,Zfp612,zinc finger protein 612,protein coding gene
ZNF230,synonym,MGI:1914400,Rnf141,ring finger protein 141,protein coding gene
ZNF232,,No associated gene,,,
ZNF233,,No associated gene,,,
ZNF234,human symbol,MGI:3705222,Zfp600,zinc finger protein 600,protein coding gene
ZNF234,human symbol,MGI:3652002,Zfp1005,zinc finger protein 1005,protein coding gene
ZNF235,human symbol,MGI:107611,Zfp93,zinc finger protein 93,protein coding gene
ZNF235,human symbol,MGI:1891198,Zfp108,zinc finger protein 108,protein coding gene
ZNF235,human symbol,MGI:1929099,Zfp109,zinc finger protein 109,protein coding gene
ZNF235,human symbol,MGI:1929114,Zfp111,zinc finger protein 111,protein coding gene
ZNF235,human symbol,MGI:3037815,Zfp114,zinc finger protein 114,protein coding gene
ZNF235,human symbol,MGI:1929117,Zfp235,zinc finger protein 235,protein coding gene
ZNF236,human symbol,MGI:1926950,Zfp236,zinc finger protein 236,protein coding gene
ZNF239,human symbol,MGI:1306812,Zfp239,zinc finger protein 239,protein coding gene
ZNF24,rat synonym,MGI:1929704,Zfp24,zinc finger protein 24,protein coding gene
ZNF248,rat synonym,MGI:1919970,Zfp248,zinc finger protein 248,protein coding gene
ZNF25,human symbol,MGI:99210,Zfp9,zinc finger protein 9,protein coding gene
ZNF250,rat synonym,MGI:3052806,Zfp647,zinc finger protein 647,protein coding gene
ZNF251,rat synonym,MGI:1918841,Zfp251,zinc finger protein 251,protein coding gene
ZNF253,,No associated gene,,,
ZNF254,human symbol,MGI:3705222,Zfp600,zinc finger protein 600,protein coding gene
ZNF254,human symbol,MGI:1925501,Zfp712,zinc finger protein 712,protein coding gene
ZNF254,human symbol,MGI:3652002,Zfp1005,zinc finger protein 1005,protein coding gene
ZNF256,,No associated gene,,,
ZNF257,,No associated gene,,,
ZNF26,,No associated gene,,,
ZNF260,rat synonym,MGI:1347071,Zfp260,zinc finger protein 260,protein coding gene
ZNF263,human symbol,MGI:1921370,Zfp263,zinc finger protein 263,protein coding gene
ZNF264,,No associated gene,,,
ZNF266,human symbol,MGI:1924769,Zfp266,zinc finger protein 266,protein coding gene
ZNF267,human symbol,MGI:3652251,Gm14412,predicted gene 14412,protein coding gene
ZNF267,human symbol,MGI:99173,Zfp26,zinc finger protein 26,protein coding gene
ZNF267,human symbol,MGI:2679295,Zfp229,zinc finger protein 229,protein coding gene
ZNF267,human symbol,MGI:1098769,Zfp267,zinc finger protein 267,protein coding gene
ZNF267,human symbol,MGI:3704127,Zfp808,zinc finger protein 808,protein coding gene
ZNF267,human symbol,MGI:3652002,Zfp1005,zinc finger protein 1005,protein coding gene
ZNF268,human symbol,MGI:3651014,Zfp268,zinc finger protein 268,protein coding gene
ZNF273,,No associated gene,,,
ZNF274,human symbol,MGI:1890378,Zfp110,zinc finger protein 110,protein coding gene
ZNF274,human symbol,MGI:2176229,Zfp369,zinc finger protein 369,protein coding gene
ZNF275,human symbol,MGI:1350985,Zfp275,zinc finger protein 275,protein coding gene
ZNF276,human symbol,MGI:1888495,Zfp276,zinc finger protein (C2H2 type) 276,protein coding gene
ZNF28,human symbol,MGI:3781781,Gm3604,predicted gene 3604,protein coding gene
ZNF280A,,No associated gene,,,
ZNF280B,rat synonym,MGI:1927865,Zfp280b,zinc finger protein 280B,protein coding gene
ZNF280C,human symbol,MGI:2387585,Zfp280c,zinc finger protein 280C,protein coding gene
ZNF280D,zebrafish symbol,MGI:1927865,Zfp280b,zinc finger protein 280B,protein coding gene
ZNF280D,zebrafish symbol,MGI:2387585,Zfp280c,zinc finger protein 280C,protein coding gene
ZNF280D,human symbol,MGI:2384583,Zfp280d,zinc finger protein 280D,protein coding gene
ZNF281,human symbol,MGI:3029290,Zfp281,zinc finger protein 281,protein coding gene
ZNF282,rat synonym,MGI:2141413,Zfp282,zinc finger protein 282,protein coding gene
ZNF283,,No associated gene,,,
ZNF284,human symbol,MGI:5591846,Gm32687,"predicted gene, 32687",protein coding gene
ZNF285,,No associated gene,,,
ZNF286A,rat synonym,MGI:2384758,Zfp286,zinc finger protein 286,protein coding gene
ZNF286B,human symbol,MGI:2384758,Zfp286,zinc finger protein 286,protein coding gene
ZNF287,rat synonym,MGI:2176561,Zfp287,zinc finger protein 287,protein coding gene
ZNF292,rat synonym,MGI:1353423,Zfp292,zinc finger protein 292,protein coding gene
ZNF296,rat synonym,MGI:1926956,Zfp296,zinc finger protein 296,protein coding gene
ZNF3,human symbol,MGI:1929116,Zfp113,zinc finger protein 113,protein coding gene
ZNF30,rat synonym,MGI:99178,Zfp30,zinc finger protein 30,protein coding gene
ZNF300,,No associated gene,,,
ZNF302,,No associated gene,,,
ZNF304,,No associated gene,,,
ZNF311,,No associated gene,,,
ZNF316,human symbol,MGI:1860402,Zfp316,zinc finger protein 316,protein coding gene
